Image,Colony,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Colony,Colony,Colony,Colony,Colony,WellObjects,WellObjects,WellObjects,WellObjects
ImageNumber,ObjectNumber,Metadata_DateTime,Metadata_FileLocation,Metadata_Frame,Metadata_PixelScale,Metadata_Plate,Metadata_Probability,Metadata_Series,Metadata_WellColumn,FileName_BF,FileName_BFProbability,FileName_OrigOverlay,PathName_BF,PathName_BFProbability,PathName_OrigOverlay,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_ColonyBeforeFilling,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,24,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2962.293019,326.0220839,0,24,24,nan,nan,nan,nan
1,25,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3428.896567,379.1473673,0,25,25,nan,nan,nan,nan
1,26,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4757.737165,344.6339286,0,26,26,nan,nan,nan,nan
1,27,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4470.783445,379.0887638,0,27,27,nan,nan,nan,nan
1,28,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4115.421143,378.3384986,0,28,28,nan,nan,nan,nan
1,29,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3244.085596,379.5454545,0,29,29,nan,nan,nan,nan
1,30,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,5186.130034,461.170967,0,30,30,nan,nan,nan,nan
1,31,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3364.027534,402.3778559,0,31,31,nan,nan,nan,nan
1,32,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,1716.733658,601.0954535,0,32,32,nan,nan,nan,nan
1,33,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4070.755037,471.0612823,0,33,33,nan,nan,nan,nan
