Image,Colony,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Colony,Colony,Colony,Colony,Colony,WellObjects,WellObjects,WellObjects,WellObjects
ImageNumber,ObjectNumber,Metadata_DateTime,Metadata_FileLocation,Metadata_Frame,Metadata_PixelScale,Metadata_Plate,Metadata_Probability,Metadata_Series,Metadata_WellColumn,FileName_BF,FileName_BFProbability,FileName_OrigOverlay,PathName_BF,PathName_BFProbability,PathName_OrigOverlay,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_ColonyBeforeFilling,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,43,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,5352.795718,680.1996528,0,43,43,nan,nan,nan,nan
1,44,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4658.531293,694.4756328,0,44,44,nan,nan,nan,nan
1,45,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,5308.835876,678.1537523,0,45,45,nan,nan,nan,nan
1,46,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,5541.972489,745.1642857,0,46,46,nan,nan,nan,nan
1,47,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2650.327836,709.2444567,0,47,47,nan,nan,nan,nan
1,48,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2398.361888,710.806531,0,48,48,nan,nan,nan,nan
1,49,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4526.172552,783.7128799,0,49,49,nan,nan,nan,nan
1,50,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,1941.021764,785.0269393,0,50,50,nan,nan,nan,nan
1,51,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4900.017838,888.05723,0,51,51,nan,nan,nan,nan
1,52,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2099.596052,782.5366801,0,52,52,nan,nan,nan,nan
